            10.0000000000 = 41200000                -10.0000000000 = c1200000
           100.0000000000 = 42c80000               -100.0000000000 = c2c80000
          1000.0000000000 = 447a0000              -1000.0000000000 = c47a0000
         10000.0000000000 = 461c4000             -10000.0000000000 = c61c4000
        100000.0000000000 = 47c35000            -100000.0000000000 = c7c35000
       1000000.0000000000 = 49742400           -1000000.0000000000 = c9742400
      10000000.0000000000 = 4b189680          -10000000.0000000000 = cb189680
     100000000.0000000000 = 4cbebc20         -100000000.0000000000 = ccbebc20
    1000000000.0000000000 = 4e6e6b28        -1000000000.0000000000 = ce6e6b28
   10000000000.0000000000 = 501502f9       -10000000000.0000000000 = d01502f9
   99999997952.0000000000 = 51ba43b7       -99999997952.0000000000 = d1ba43b7
  999999995904.0000000000 = 5368d4a5      -999999995904.0000000000 = d368d4a5
 9999999827968.0000000000 = 551184e7     -9999999827968.0000000000 = d51184e7
