0.1000000015 = 3dcccccd                 -0.1000000015 = bdcccccd
0.2000000030 = 3e4ccccd                 -0.2000000030 = be4ccccd
0.3000000119 = 3e99999a                 -0.3000000119 = be99999a
0.4000000060 = 3ecccccd                 -0.4000000060 = becccccd
0.5000000000 = 3f000000                 -0.5000000000 = bf000000
0.6000000238 = 3f19999a                 -0.6000000238 = bf19999a
0.6999999881 = 3f333333                 -0.6999999881 = bf333333
0.8000000119 = 3f4ccccd                 -0.8000000119 = bf4ccccd
0.8999999762 = 3f666666                 -0.8999999762 = bf666666
1.0000000000 = 3f800000                 -1.0000000000 = bf800000
1.1000000238 = 3f8ccccd                 -1.1000000238 = bf8ccccd
1.2000000477 = 3f99999a                 -1.2000000477 = bf99999a
1.2999999523 = 3fa66666                 -1.2999999523 = bfa66666
1.3999999762 = 3fb33333                 -1.3999999762 = bfb33333
1.5000000000 = 3fc00000                 -1.5000000000 = bfc00000
1.6000000238 = 3fcccccd                 -1.6000000238 = bfcccccd
1.7000000477 = 3fd9999a                 -1.7000000477 = bfd9999a
1.7999999523 = 3fe66666                 -1.7999999523 = bfe66666
1.8999999762 = 3ff33333                 -1.8999999762 = bff33333
2.0000000000 = 40000000                 -2.0000000000 = c0000000
